UKPRN,HE Provider,Tuition fees and education contracts income,Funding body grants income,Research grants and contracts income,Other income,Investment income,Donations and endowments income,Staff costs,Restructuring costs,Other operating expenses,Depreciation and amortisation,Interest and other finance costs
10005343,Queen's University Belfast,"152,247,000","110,939,000","98,425,000","69,534,000","3,363,000","3,173,000","341,329,000",0,"150,139,000","23,848,000","1,791,000"
10006840,The University of Birmingham,"418,346,000","95,599,000","214,964,000","144,327,000","6,674,000","8,030,000","642,728,000",0,"343,295,000","74,082,000","3,586,000"
10007786,The University of Bristol,"388,432,000","119,991,000","192,796,000","148,866,000","3,900,000","4,500,000","631,950,000",0,"289,267,000","51,800,000","21,259,000"
10007788,The University of Cambridge,"376,232,000","197,252,000","551,823,000","1,020,735,000","39,187,000","52,831,000","1,305,173,000",0,"1,029,400,000","130,398,000","-144,612,000"
10007814,Cardiff University,"323,510,000","98,893,000","125,427,000","79,369,000","5,729,000","1,239,000","457,994,000",9000,"212,897,000","40,041,000","14,372,000"
10007143,University of Durham,"272,353,000","43,570,000","50,462,000","78,140,000","5,407,000","18,613,000","331,890,000",0,"146,310,000","45,145,000","10,836,000"
10007790,The University of Edinburgh,"496,955,000","198,304,000","331,633,000","221,889,000","19,925,000","28,737,000","881,561,000",0,"424,612,000","61,161,000","21,704,000"
10007792,The University of Exeter,"326,635,000","62,756,000","106,765,000","83,725,000","1,440,000","5,603,000","438,935,000",0,"181,148,000","59,054,000","6,331,000"
10007794,The University of Glasgow,"380,717,000","178,947,000","196,119,000","156,587,000","9,488,000","7,500,000","651,629,000",0,"305,837,000","36,629,000","8,629,000"
10003270,"Imperial College of Science, Technology and Medicine","423,195,000","151,737,000","368,432,000","148,303,000","7,131,000","64,395,000","754,060,000","1,509,000","393,604,000","91,202,000","19,127,000"
10003645,King's College London,"610,493,000","138,971,000","221,164,000","162,788,000","4,626,000","11,209,000","913,910,000",0,"406,163,000","59,233,000","17,334,000"
10007795,The University of Leeds,"500,511,000","95,236,000","177,297,000","142,431,000","3,374,000","10,686,000","642,684,000",0,"326,080,000","67,710,000","12,478,000"
10006842,The University of Liverpool,"308,241,000","83,175,000","113,551,000","100,796,000","5,738,000","3,427,000","481,061,000","1,629,000","213,261,000","48,076,000","12,046,000"
10004063,London School of Economics and Political Science,"265,772,000","29,152,000","36,886,000","64,687,000","3,546,000","41,330,000","305,513,000",0,"133,907,000","14,975,000","9,158,000"
10007798,The University of Manchester,"638,205,000","136,462,000","270,561,000","158,368,000","4,169,000","9,362,000","816,211,000",550000,"400,439,000","78,974,000","20,802,000"
10007799,Newcastle University,"286,948,000","78,609,000","109,580,000","67,979,000","1,653,000","13,837,000","409,312,000",0,"192,568,000","32,317,000","5,430,000"
10007154,University of Nottingham,"433,704,000","108,547,000","131,360,000","122,701,000","1,222,000","4,299,000","583,933,000",0,"292,632,000","43,701,000","5,399,000"
10007774,The University of Oxford,"466,833,000","206,056,000","711,386,000","1,154,162,000","130,100,000","106,703,000","1,535,987,000",0,"1,199,080,000","124,721,000","37,538,000"
10007775,Queen Mary University of London,"354,153,000","73,224,000","123,382,000","77,316,000","2,168,000","4,285,000","401,407,000",0,"194,434,000","26,819,000","8,295,000"
10007157,The University of Sheffield,"379,257,000","95,098,000","204,843,000","132,718,000","2,261,000","8,220,000","552,170,000",0,"251,127,000","73,951,000","15,741,000"
10007158,The University of Southampton,"326,114,000","83,021,000","114,715,000","140,094,000","6,008,000","2,879,000","482,450,000",0,"206,898,000","31,422,000","17,053,000"
10007784,University College London,"778,553,000","221,891,000","524,890,000","197,006,000","6,938,000","22,501,000","1,268,679,000",0,"600,802,000","110,166,000","8,698,000"
10007163,The University of Warwick,"429,565,000","68,706,000","139,920,000","135,285,000","2,066,000","3,416,000","569,608,000",0,"237,587,000","54,578,000","8,338,000"
10007167,The University of York,"252,799,000","51,462,000","79,717,000","85,167,000",828000,"2,194,000","352,473,000",0,"163,148,000","31,066,000","9,976,000"
